Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2021-05-14,ALB,Albania,Berat,40.6285,20.090775,6645,96,6467,82,3,0,False,False,AL031
2021-05-14,ALB,Albania,Dibër,,,2505,48,2418,39,2,0,False,False,AL011
2021-05-14,ALB,Albania,Durrës,41.518365,19.651766,10226,231,9878,117,6,0,False,False,AL012
2021-05-14,ALB,Albania,Elbasan,41.040028,20.186454,8690,249,8325,116,6,0,False,False,AL021
2021-05-14,ALB,Albania,Fier,40.774633,19.620528,11526,239,11108,179,8,0,False,False,AL032
2021-05-14,ALB,Albania,Gjirokastër,,,4854,62,4596,196,2,0,False,False,AL033
2021-05-14,ALB,Albania,Korçë,40.62883,20.666004,6706,115,6377,214,4,0,False,False,AL034
2021-05-14,ALB,Albania,Kukës,42.066696,20.419467,2863,34,2784,45,0,0,False,False,AL013
2021-05-14,ALB,Albania,Lezhë,41.801452,19.845695,6147,91,5955,101,2,0,False,False,AL014
2021-05-14,ALB,Albania,NOT SPECIFIED,,,,,,0,,,False,False,
2021-05-14,ALB,Albania,Shkodër,42.17682,19.719451,7397,144,6987,266,6,0,False,False,AL015
2021-05-14,ALB,Albania,Tiranë,41.268583,19.793936,55301,993,48403,5905,33,5,False,False,AL022
2021-05-14,ALB,Albania,Vlorë,40.162418,19.793592,9079,125,8807,147,7,0,False,False,AL035
2021-05-14,AND,Andorra,Andorra,42.542268,1.596865,13510,127,,13383,7,,False,False,AD
2021-05-11,AUT,Austria,Burgenland,47.541449,16.520206,17886,318,17195,373,11,15,True,True,AT11
2021-05-11,AUT,Austria,Kärnten,46.715832,14.455532,39359,809,37202,1348,41,9,True,True,AT21
2021-05-11,AUT,Austria,Niederösterreich,48.27051,15.763245,105467,1597,100658,3212,151,67,True,True,AT12
2021-05-11,AUT,Austria,NOT SPECIFIED,,,,,,0,,,True,True,
2021-05-11,AUT,Austria,Oberösterreich,48.138166,13.964295,114354,1581,107973,4800,110,52,True,True,AT31
2021-05-11,AUT,Austria,Salzburg,47.254051,13.032653,49578,581,47725,1272,47,15,True,True,AT32
2021-05-11,AUT,Austria,Steiermark,47.187361,15.518046,78128,2037,72877,3214,182,37,True,True,AT22
2021-05-11,AUT,Austria,Tirol,47.209023,11.397603,61373,678,59124,1571,58,29,True,True,AT33
2021-05-11,AUT,Austria,Vorarlberg,47.240149,9.896366,28954,299,27083,1572,29,7,True,True,AT34
2021-05-11,AUT,Austria,Wien,48.21141,16.380038,134794,2270,123168,9356,228,127,True,True,AT13
2021-05-14,BLR,Belarus,Belarus,53.711111,27.973847,373351,2681,,370670,,,False,False,BY
2021-05-13,BEL,Belgium,Brussels,50.836426,4.367415,126156,3183,,122973,277,105,True,True,BE1
2021-05-13,BEL,Belgium,Flanders,51.036569,4.234165,478401,12492,,465909,889,311,True,True,BE2
2021-05-13,BEL,Belgium,NOT SPECIFIED,,,19558,0,,19558,0,0,True,True,
2021-05-13,BEL,Belgium,Wallonia,50.312074,5.019093,402358,8970,,393388,755,231,True,True,BE3
2021-05-14,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,43.892652,17.670584,202143,8981,168549,24613,,,False,False,BA
2021-05-15,BGR,Bulgaria,Blagoevgrad,41.72282,23.424299,18303,10,10,18283,,,True,True,BG413
2021-05-15,BGR,Bulgaria,Burgas,42.491848,27.306892,27084,1,19,27064,,,True,True,BG341
2021-05-15,BGR,Bulgaria,Dobrich,43.65074,27.936751,7786,0,2,7784,,,True,True,BG332
2021-05-15,BGR,Bulgaria,Gabrovo,42.931879,25.247163,6667,1,2,6664,,,True,True,BG322
2021-05-15,BGR,Bulgaria,Haskovo,41.849113,25.942349,9723,1,7,9715,,,True,True,BG422
2021-05-15,BGR,Bulgaria,Kardzhali,41.527042,25.441477,4434,0,4,4430,,,True,True,BG425
2021-05-15,BGR,Bulgaria,Kyustendil,42.255307,22.869974,8863,3,20,8840,,,True,True,BG415
2021-05-15,BGR,Bulgaria,Lovech,43.035259,24.5688,5585,0,1,5584,,,True,True,BG315
2021-05-15,BGR,Bulgaria,Montana,43.496677,23.192363,6236,0,0,6236,,,True,True,BG312
2021-05-15,BGR,Bulgaria,NOT SPECIFIED,,,0,17098,361281,-378379,,,True,True,
2021-05-15,BGR,Bulgaria,Pazardzhik,42.133682,24.140941,11123,9,18,11096,,,True,True,BG423
2021-05-15,BGR,Bulgaria,Pernik,42.613861,22.853171,7943,0,1,7942,,,True,True,BG414
2021-05-15,BGR,Bulgaria,Pleven,43.486117,24.610919,13064,2,10,13052,,,True,True,BG314
2021-05-15,BGR,Bulgaria,Plovdiv,42.257364,24.824903,36088,5,64,36019,,,True,True,BG421
2021-05-15,BGR,Bulgaria,Razgrad,,,3730,0,0,3730,,,True,True,BG324
2021-05-15,BGR,Bulgaria,Ruse,43.54059,25.759217,13960,0,1,13959,,,True,True,BG323
2021-05-15,BGR,Bulgaria,Shumen,43.296516,27.004814,9639,1,1,9637,,,True,True,BG333
2021-05-15,BGR,Bulgaria,Silistra,43.946163,27.044927,5871,1,2,5868,,,True,True,BG325
2021-05-15,BGR,Bulgaria,Sliven,42.67034,26.241026,10278,11,56,10211,,,True,True,BG342
2021-05-15,BGR,Bulgaria,Smolyan,41.628892,24.668089,4729,4,33,4692,,,True,True,BG424
2021-05-15,BGR,Bulgaria,Sofia City,42.286287,23.616846,108062,56,411,107595,,,True,True,BG411
2021-05-15,BGR,Bulgaria,Sofia Region,,,13277,0,0,13277,,,True,True,BG412
2021-05-15,BGR,Bulgaria,Stara Zagora,42.411912,25.567329,17518,3,0,17515,,,True,True,BG344
2021-05-15,BGR,Bulgaria,Targovishte,,,3895,1,0,3894,,,True,True,BG334
2021-05-15,BGR,Bulgaria,Varna,43.186206,27.59493,30904,0,11,30893,,,True,True,BG331
2021-05-15,BGR,Bulgaria,Veliko Tarnovo,43.189524,25.649275,9452,4,5,9443,,,True,True,BG321
2021-05-15,BGR,Bulgaria,Vidin,43.797295,22.68621,2853,18,14,2821,,,True,True,BG311
2021-05-15,BGR,Bulgaria,Vratsa,43.395067,23.759152,10031,0,2,10029,,,True,True,BG313
2021-05-15,BGR,Bulgaria,Yambol,,,6740,14,18,6708,,,True,True,BG343
2021-05-13,HRV,Croatia,Bjelovarsko-bilogorska,45.739855,16.976657,7361,169,,7192,,,True,True,HR047
2021-05-13,HRV,Croatia,Brodsko-Posavska,45.142404,17.821388,11655,185,,11470,,,True,True,HR04A
2021-05-13,HRV,Croatia,Dubrovačko-neretvanska,42.662368,18.15083,8207,135,,8072,,,True,True,HR037
2021-05-13,HRV,Croatia,Grad Zagreb,45.742196,16.008116,67828,2330,,65498,,,True,True,HR041
2021-05-13,HRV,Croatia,Istarska,45.203521,13.895312,7118,145,,6973,,,True,True,HR036
2021-05-13,HRV,Croatia,Karlovačka,45.292126,15.46427,10101,427,,9674,,,True,True,HR04D
2021-05-13,HRV,Croatia,Koprivničko-križevačka,46.066232,16.571467,7739,221,,7518,,,True,True,HR045
2021-05-13,HRV,Croatia,Krapinsko-zagorska županija,46.09492,15.919072,10782,334,,10448,,,True,True,HR043
2021-05-13,HRV,Croatia,Ličko-senjska,44.69075,15.422344,3841,134,,3707,,,True,True,HR032
2021-05-13,HRV,Croatia,Međimurska,46.410728,16.508315,14041,183,,13858,,,True,True,HR046
2021-05-13,HRV,Croatia,NOT SPECIFIED,,,,,332669,-332669,,,True,True,
2021-05-13,HRV,Croatia,Osječko-baranjska,45.56139,18.442456,20475,889,,19586,,,True,True,HR04B
2021-05-13,HRV,Croatia,Požeško-slavonska,45.404899,17.562893,3794,108,,3686,,,True,True,HR049
2021-05-13,HRV,Croatia,Primorsko-Goranska,45.367738,14.701448,32194,476,,31718,,,True,True,HR031
2021-05-13,HRV,Croatia,Šibensko-kninska,43.89492,16.07332,9676,151,,9525,,,True,True,HR034
2021-05-13,HRV,Croatia,Sisačko-moslavačka,45.365583,16.424137,11224,113,,11111,,,True,True,HR04E
2021-05-13,HRV,Croatia,Splitsko-Dalmatinska,43.613438,16.730085,44538,602,,43936,,,True,True,HR035
2021-05-13,HRV,Croatia,Varaždinska,46.250434,16.293818,20883,502,,20381,,,True,True,HR044
2021-05-13,HRV,Croatia,Virovitičko-podravska,45.831646,17.385543,4274,95,,4179,,,True,True,HR048
2021-05-13,HRV,Croatia,Vukovarsko-srijemska,45.179126,18.877963,10603,196,,10407,,,True,True,HR04C
2021-05-13,HRV,Croatia,Zadarska,44.347845,15.959404,13151,218,,12933,,,True,True,HR033
2021-05-13,HRV,Croatia,Zagrebačka,45.82762,16.381796,28673,10,,28663,,,True,True,HR042
2021-05-13,CYP,Cyprus,Cyprus,35.167406,33.435499,70742,414,59891,10437,1618,,True,True,CY
2021-05-14,CZE,Czech Republic,NOT SPECIFIED,,,1652238,29886,1592219,30133,,,True,True,
2020-09-11,DNK,Denmark,Faroe,62.194921,-7.096614,0,0,,0,,,True,True,FRO
2020-09-11,DNK,Denmark,Greenland,71.702379,-42.177174,0,0,,0,,,True,True,GRL
2021-05-12,DNK,Denmark,Hovedstaden,55.675758,12.56902,,,,0,,,True,True,DK01
2021-05-12,DNK,Denmark,Mainland,56.031924,9.317572,,,,0,,,True,True,
2021-05-12,DNK,Denmark,Midtjylland,56.302139,9.302777,,,,0,,,True,True,DK04
2021-05-12,DNK,Denmark,Nordjylland,56.830742,9.493053,,,,0,,,True,True,DK05
2021-05-12,DNK,Denmark,NOT SPECIFIED,,,262159,2499,247855,11805,158,0,True,True,
2021-05-12,DNK,Denmark,Sjælland,55.92481,11.67126,,,,0,,,True,True,DK02
2021-05-12,DNK,Denmark,Syddanmark,55.675758,12.56902,,,,0,,,True,True,DK03
2021-05-15,EST,Estonia,Estonia,58.596209,25.023778,126922,1220,,125702,,,True,True,EE0
2021-05-14,FIN,Finland,Ahvenanmaa,60.240625,19.966666,378,,,378,,,True,True,FI200
2021-05-14,FIN,Finland,Etelä-Karjala,61.217899,28.550289,1114,,,1114,,,True,True,FI1C5
2021-05-14,FIN,Finland,Etelä-Pohjanmaa,62.833356,23.05691,808,,,808,,,True,True,FI194
2021-05-14,FIN,Finland,Etelä-Savo,61.813578,27.347685,931,,,931,,,True,True,FI1D1
2021-05-14,FIN,Finland,HUS,60.408524,24.7817,52225,,,52225,,,True,True,FI1B1
2021-05-14,FIN,Finland,Itä-Savo,62.073919,28.846114,304,,,304,,,True,True,FI1X1
2021-05-14,FIN,Finland,Kainuu,64.373656,28.743748,302,,,302,,,True,True,FI1D8
2021-05-14,FIN,Finland,Kanta-Häme,60.921424,24.354383,1647,,,1647,,,True,True,FI1C2
2021-05-14,FIN,Finland,Keski-Pohjanmaa,63.626887,24.066596,309,,,309,,,True,True,FI1D5
2021-05-14,FIN,Finland,Keski-Suomi,62.629133,25.476526,2483,,,2483,,,True,True,FI193
2021-05-14,FIN,Finland,Kymenlaakso,60.826543,26.889951,1469,,,1469,,,True,True,FI1C4
2021-05-14,FIN,Finland,Länsi-Pohja,66.133479,24.762611,609,,,609,,,True,True,FI1X2
2021-05-14,FIN,Finland,Lappi,67.847438,26.444542,624,,,624,,,True,True,FI1D7
2021-04-04,FIN,Finland,NOT SPECIFIED,,,,846,,-846,,,True,True,
2021-05-14,FIN,Finland,Päijät-Häme,61.217271,25.721465,2809,,,2809,,,True,True,FI1C3
2021-05-14,FIN,Finland,Pirkanmaa,61.715017,23.913902,4935,,,4935,,,True,True,FI197
2021-05-14,FIN,Finland,Pohjois-Karjala,62.918285,29.941761,698,,,698,,,True,True,FI1D3
